case_id,ai_root_cause,ai_confidence,correct_root_cause,checker_flags_raised,review_status,reviewer_notes,reviewer
C01,Router sub-interface Gi0/0.10 is administratively down,high,Router sub-interface Gi0/0.10 is administratively down,True,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C02,Trunk link between SW1 and SW2 is down / not configured as trunk,high,Trunk link between SW1 and SW2 is down / not configured as trunk,False,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C03,"Missing 'ip helper-address' on router sub-interface, DHCP broadcast not relayed",high,"Missing 'ip helper-address' on router sub-interface, DHCP broadcast not relayed",False,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C04,"DHCP scope for VLAN 40 is nearly exhausted, causing some clients to fall back to APIPA.",medium,Static IP on PC5 conflicts with an address inside the DHCP scope,True,Edited,AI blamed pool exhaustion; actual cause was a static IP conflicting with an in-scope DHCP address. Corrected root cause: Static IP on PC5 conflicts with an address inside the DHCP scope,"Solo student reviewer (self-review, as required when working individually)"
C05,DNS server address unreachable / not configured on router acting as forwarder,high,DNS server address unreachable / not configured on router acting as forwarder,False,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C06,Serial interface line protocol down (clocking/encapsulation mismatch),high,Serial interface line protocol down (clocking/encapsulation mismatch),False,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C07,"Sub-interface for VLAN 70 not configured / shut down, so network is missing from routing table",high,"Sub-interface for VLAN 70 not configured / shut down, so network is missing from routing table",True,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C08,OSPF neighbor adjacency not forming due to missing/incorrect network statement,high,OSPF neighbor adjacency not forming due to missing/incorrect network statement,True,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
C09,Static route to 10.2.2.0 is missing from the routing table entirely.,medium,"Incorrect subnet mask typed in static route (255.255.0.0 instead of 255.255.255.0), causing route rejection/overlap",False,Edited,"AI said the route was 'missing' but evidence showed it WAS entered, just with a typo'd subnet mask (255.255.0.0 vs 255.255.255.0) — a more specific and actionable root cause. Corrected root cause: Incorrect subnet mask typed in static route (255.255.0.0 instead of 255.255.255.0), causing route rejection/overlap","Solo student reviewer (self-review, as required when working individually)"
C10,"Outside interface missing 'ip nat outside' command, so NAT overload never triggers",high,"Outside interface missing 'ip nat outside' command, so NAT overload never triggers",False,Accepted,AI diagnosis matched evidence and known root cause. No changes needed.,"Solo student reviewer (self-review, as required when working individually)"
